device,detector,traffic,time
tre133,e_41_2,240,19-20
tre133,f50,180,19-20
tre133,a60,0,20-21
tre133,a_31,240,20-21
tre133,b60_1,0,20-21
tre133,b60_2,60,20-21
tre133,b_55_1,180,20-21
tre133,b_55_2,60,20-21
tre133,c60,60,20-21
tre133,d50,480,20-21
tre133,e_41_1,120,20-21
tre133,e_41_2,120,20-21
tre133,f50,240,20-21
tre133,a60,0,21-22
tre133,a_31,0,21-22
tre133,b60_1,60,21-22
tre133,b60_2,0,21-22
tre133,b_55_1,180,21-22
tre133,b_55_2,60,21-22
tre133,c60,60,21-22
tre133,d50,0,21-22
tre133,e_41_1,120,21-22
tre133,e_41_2,60,21-22
tre133,f50,60,21-22
tre133,a60,0,22-23
tre133,a_31,120,22-23
tre133,b60_1,0,22-23
tre133,b60_2,0,22-23
tre133,b_55_1,0,22-23
tre133,b_55_2,180,22-23
tre133,c60,120,22-23
tre133,d50,60,22-23
tre133,e_41_1,0,22-23
tre133,e_41_2,0,22-23
tre133,f50,0,22-23
tre133,a60,0,23-24
tre133,a_31,60,23-24
tre133,b60_1,60,23-24
tre133,b60_2,0,23-24
tre133,b_55_1,0,23-24
tre133,b_55_2,0,23-24
tre133,c60,60,23-24
tre133,d50,0,23-24
tre133,e_41_1,60,23-24
tre133,e_41_2,60,23-24
tre133,f50,0,23-24
