device,detector,time,traffic_monday,traffic_friday
tre133,b_55_1,17-18,420,420
tre133,b_55_2,17-18,180,180
tre133,c60,17-18,600,840
tre133,d50,17-18,120,300
tre133,e_41_1,17-18,600,360
tre133,e_41_2,17-18,720,600
tre133,f50,17-18,480,300
tre133,a60,18-19,0,0
tre133,a_31,18-19,420,360
tre133,b60_1,18-19,120,120
tre133,b60_2,18-19,0,0
tre133,b_55_1,18-19,120,180
tre133,b_55_2,18-19,180,0
tre133,c60,18-19,240,660
tre133,d50,18-19,120,240
tre133,e_41_1,18-19,600,300
tre133,e_41_2,18-19,720,660
tre133,f50,18-19,240,60
tre133,a60,19-20,0,0
tre133,a_31,19-20,300,240
tre133,b60_1,19-20,120,240
tre133,b60_2,19-20,60,60
tre133,b_55_1,19-20,120,60
tre133,b_55_2,19-20,180,60
tre133,c60,19-20,180,240
tre133,d50,19-20,240,120
tre133,e_41_1,19-20,240,60
tre133,e_41_2,19-20,240,300
tre133,f50,19-20,180,60
tre133,a60,20-21,0,0
tre133,a_31,20-21,240,180
tre133,b60_1,20-21,0,180
tre133,b60_2,20-21,60,0
tre133,b_55_1,20-21,180,360
tre133,b_55_2,20-21,60,180
tre133,c60,20-21,60,300
tre133,d50,20-21,480,120
tre133,e_41_1,20-21,120,120
tre133,e_41_2,20-21,120,300
tre133,f50,20-21,240,360
tre133,a60,21-22,0,0
tre133,a_31,21-22,0,420
tre133,b60_1,21-22,60,240
tre133,b60_2,21-22,0,60
tre133,b_55_1,21-22,180,240
tre133,b_55_2,21-22,60,240
tre133,c60,21-22,60,180
tre133,d50,21-22,0,240
tre133,e_41_1,21-22,120,120
tre133,e_41_2,21-22,60,240
tre133,f50,21-22,60,240
tre133,a60,22-23,0,0
tre133,a_31,22-23,120,180
tre133,b60_1,22-23,0,0
tre133,b60_2,22-23,0,0
tre133,b_55_1,22-23,0,60
tre133,b_55_2,22-23,180,0
tre133,c60,22-23,120,0
tre133,d50,22-23,60,180
tre133,e_41_1,22-23,0,0
tre133,e_41_2,22-23,0,120
tre133,f50,22-23,0,60
tre133,a60,23-24,0,0
tre133,a_31,23-24,60,60
tre133,b60_1,23-24,60,120
tre133,b60_2,23-24,0,60
tre133,b_55_1,23-24,0,180
tre133,b_55_2,23-24,0,120
tre133,c60,23-24,60,60
tre133,d50,23-24,0,0
tre133,e_41_1,23-24,60,120
tre133,e_41_2,23-24,60,60
tre133,f50,23-24,0,60
